Entity,Code,Year,emissions
Asia,,1990,6596.534409281517
Asia,,1991,6915.502059244464
Asia,,1992,7177.09782150445
Asia,,1993,7513.67562462314
Asia,,1994,7843.636024699658
Asia,,1995,8161.141844800621
Asia,,1996,8513.204477628935
Asia,,1997,8619.109596100658
Asia,,1998,8354.189716554618
Asia,,1999,8600.808353928236
Asia,,2000,9031.30969732939
Asia,,2001,9182.150896200814
Asia,,2002,9683.731108436492
Asia,,2003,10571.228425117257
Asia,,2004,11543.936908374206
Asia,,2005,12362.824495196728
Asia,,2006,13188.820101859903
Asia,,2007,13909.603205969986
Asia,,2008,14756.733915520465
Asia,,2009,15337.657465901815
Asia,,2010,16348.192832415767
Asia,,2011,17583.03895189869
Asia,,2012,18279.893812892846
Asia,,2013,18380.13148240949
Asia,,2014,18703.58581496398
Asia,,2015,18859.951457942145
Asia,,2016,19090.21862245293
Asia,,2017,19472.850937327665
Asia,,2018,20074.100910145837
China,CHN,1990,2420.3021080000003
China,CHN,1991,2538.923968435
China,CHN,1992,2657.112405588
China,CHN,1993,2835.79547347
China,CHN,1994,3010.2422083250003
China,CHN,1995,3265.056964
China,CHN,1996,3408.346590688
China,CHN,1997,3414.54928638
China,CHN,1998,3265.9026205100004
China,CHN,1999,3258.13488654
China,CHN,2000,3349.294776
China,CHN,2001,3426.1440619352
China,CHN,2002,3782.4392974380003
China,CHN,2003,4452.3102962369
China,CHN,2004,5125.894416450001
China,CHN,2005,5771.16844
China,CHN,2006,6377.7480160000005
China,CHN,2007,6861.750652000001
China,CHN,2008,7375.189907000001
China,CHN,2009,7758.811768000001
China,CHN,2010,8500.542695000002
China,CHN,2011,9388.199234
China,CHN,2012,9633.899303
China,CHN,2013,9796.52716
China,CHN,2014,9820.360492283751
China,CHN,2015,9716.467840234136
China,CHN,2016,9704.479431780572
China,CHN,2017,9838.754028261345
China,CHN,2018,10064.685698137107
United States,USA,1990,5121.1794396362175
United States,USA,1991,5071.563914129354
United States,USA,1992,5174.670600727453
United States,USA,1993,5281.386608386348
United States,USA,1994,5375.033803130698
United States,USA,1995,5436.697985645714
United States,USA,1996,5625.04188495804
United States,USA,1997,5701.920919441466
United States,USA,1998,5749.89305632887
United States,USA,1999,5829.51995115461
United States,USA,2000,5997.298912247084
United States,USA,2001,5899.855484554804
United States,USA,2002,5942.421409609994
United States,USA,2003,5991.19093456165
United States,USA,2004,6105.444109771078
United States,USA,2005,6130.552416529036
United States,USA,2006,6050.3846037128915
United States,USA,2007,6127.8882211166165
United States,USA,2008,5928.25632899496
United States,USA,2009,5493.547908151844
United States,USA,2010,5700.108336541933
United States,USA,2011,5572.584775486275
United States,USA,2012,5371.777170152365
United States,USA,2013,5522.9083654331735
